,0
0,33.95549506873018
1,26.235656785751797
2,42.708537005066695
3,52.87342708824214
4,49.33946532820736
5,45.45695044895828
6,57.33532234774519
7,60.45144599442439
8,50.085624876728744
9,57.25628058602891
10,60.101066836025346
11,39.74089586689791
12,42.15836978923711
13,55.43970540179966
14,54.957248445839426
15,42.943008227435726
16,59.78781100539532
17,51.12672669736172
18,54.30660733079745
19,63.53718536956704
20,59.21412403067001
21,24.035983621946112
22,20.97293569225889
23,11.901837267933251
24,39.31236447137458
25,39.47192255719366
26,62.92263256469454
27,45.38432118726361
28,48.00516862997132
29,35.10734500562513
30,59.198770065192306
31,62.81895197135997
32,32.80763688475843
33,43.1269231512576
34,75.05795891860446
35,39.031138613373464
36,76.94974536560895
37,49.897182261012915
38,68.4495392981899
39,30.171626187387567
40,57.336711316002265
41,35.33157993663594
42,53.31116891565373
43,24.985727049650592
44,51.94402377931309
45,31.79972718777268
46,52.35508659476331
47,39.73887240045578
48,59.73712594326622
49,45.855180686309026
50,54.28860419873378
51,53.32683686031751
52,29.30962055740498
53,40.747089900908506
54,47.85964603779072
55,55.3496272449595
56,56.98982375658207
57,42.42334122009349
58,13.195701023452042
59,50.232860813888415
60,51.926866217569284
61,43.325853343137126
62,63.19889310504611
63,52.43223860766542
64,38.3688699301361
65,38.623399340865106
66,70.81428239389123
67,33.70410143502039
68,44.76284809137737
69,66.34254848868797
70,35.60876953137036
71,36.91342761772815
72,59.744146468045734
73,36.90170721921987
74,20.977747920528778
75,40.93192694593594
76,64.70169237799489
77,35.908715534184104
