,0
0,36.53918481
1,21.20688145
2,31.623350800000004
3,56.1622762
4,52.3621094
5,44.37405444
6,42.95797218
7,55.70365036
8,50.50702288
9,47.19296841
10,62.99661111
11,30.27125815
12,31.18396921
13,53.9756188
14,61.84238754
15,44.70597941
16,73.10562852
17,43.11868804
18,37.78463271
19,60.40537667
20,46.37837915
21,22.78552729
22,25.14522106
23,15.33763841
24,56.00919123
25,49.29003592
26,77.71291305
27,52.22481055
28,57.82017774
29,35.68717378
30,56.77873727
31,53.79530934
32,19.464496899999997
33,32.03336174
34,75.87563841
35,39.94550737
36,86.62149883
37,56.88367544
38,61.35644547
39,25.42175699
40,51.83158435
41,29.22794135
42,62.21927778
43,17.88256926
44,51.96679446
45,23.70953115
46,54.43523047
47,42.64600416
48,75.7226053
49,37.96258827
50,57.77112405
51,68.27587557
52,26.2690307
53,41.94550737
54,44.24477839
55,51.95915534
56,63.62373677
57,67.59483333
58,11.48025815
59,56.45244495
60,50.65380122
61,41.73371825
62,57.36570642
63,38.60715419
64,38.38448437
65,32.59174978
66,81.98684049
67,29.65119559
68,46.15338932
69,70.99911186
70,28.81778017
71,35.65085522
72,71.64732875
73,33.49650919
74,21.91272811
75,65.11595189
76,70.59553386
77,24.73409291
